recordType,rawName,canonicalName,matchType,matchScore
STARTUP,amunchet,amunchet,NO_MATCH,44.44444444444444
STARTUP,Freepik,Freepik,NO_MATCH,42.10526315789473
STARTUP,giacomoarienti,giacomoarienti,NO_MATCH,45.45454545454546
STARTUP,umutbozdag,umutbozdag,NO_MATCH,40.0
STARTUP,buildborderless,buildborderless,NO_MATCH,40.0
STARTUP,haywoodsloan,haywoodsloan,NO_MATCH,40.0
STARTUP,Marqo,Marqo,NO_MATCH,42.85714285714286
STARTUP,ISxOdin,ISxOdin,NO_MATCH,33.333333333333336
STARTUP,smp-hub,smp-hub,NO_MATCH,30.76923076923077
STARTUP,Organika,Organika,NO_MATCH,42.85714285714286
STARTUP,prithivMLmods,prithivMLmods,NO_MATCH,33.333333333333336
STARTUP,nateraw,nateraw,NO_MATCH,50.0
STARTUP,peft-internal-testing,peft-internal-testing,NO_MATCH,36.36363636363637
STARTUP,docling-project,docling-project,NO_MATCH,34.78260869565217
STARTUP,umm-maybe,umm-maybe,NO_MATCH,40.0
STARTUP,BVRA,BVRA,NO_MATCH,40.0
STARTUP,amaye15,amaye15,NO_MATCH,47.05882352941176
STARTUP,PaddlePaddle,PaddlePaddle,NO_MATCH,40.0
STARTUP,hustvl,hustvl,NO_MATCH,37.5
STARTUP,PekingU,PekingU,NO_MATCH,42.10526315789473
STARTUP,keremberke,keremberke,NO_MATCH,37.5
STARTUP,TahaDouaji,TahaDouaji,NO_MATCH,42.10526315789473
STARTUP,Anzhc,Anzhc,NO_MATCH,57.14285714285714
STARTUP,morsetechlab,morsetechlab,NO_MATCH,38.70967741935484
STARTUP,ustc-community,ustc-community,NO_MATCH,33.333333333333336
STARTUP,Roboflow,Roboflow,FUZZY_MATCH,100.0
STARTUP,AnnaZhang,AnnaZhang,NO_MATCH,44.44444444444444
STARTUP,Aryn,Aryn,NO_MATCH,40.0
STARTUP,SenseTime,SenseTime,NO_MATCH,44.44444444444444
STARTUP,IDEA-Research,IDEA-Research,NO_MATCH,34.78260869565217
STARTUP,foduucom,foduucom,NO_MATCH,33.333333333333336
STARTUP,Fuyucchi,Fuyucchi,NO_MATCH,35.29411764705882
STARTUP,datalab-to,datalab-to,NO_MATCH,52.63157894736843
STARTUP,moondream,moondream,NO_MATCH,42.85714285714286
STARTUP,disco-eth,disco-eth,NO_MATCH,47.05882352941176
STARTUP,iitolstykh,iitolstykh,NO_MATCH,42.10526315789473
STARTUP,Ultralytics,Ultralytics,NO_MATCH,47.61904761904761
STARTUP,mudler,mudler,NO_MATCH,44.44444444444444
STARTUP,yuuko-eth,yuuko-eth,NO_MATCH,40.0
STARTUP,valentinafevu,valentinafevu,NO_MATCH,47.61904761904761
STARTUP,mosesb,mosesb,NO_MATCH,40.0
STARTUP,huyvux3005,huyvux3005,NO_MATCH,25.0
STARTUP,RoyRud1902,RoyRud1902,NO_MATCH,27.27272727272727
STARTUP,yainage90,yainage90,NO_MATCH,47.05882352941176
STARTUP,Piero2411,Piero2411,NO_MATCH,47.05882352941176
STARTUP,jameslahm,jameslahm,NO_MATCH,35.29411764705882
STARTUP,schumannc,schumannc,NO_MATCH,35.29411764705882
STARTUP,euler1729,euler1729,NO_MATCH,33.333333333333336
STARTUP,amayuelas,amayuelas,NO_MATCH,42.10526315789473
STARTUP,tech4humans,tech4humans,NO_MATCH,31.57894736842105
STARTUP,NAKSTStudio,NAKSTStudio,NO_MATCH,52.17391304347826
STARTUP,mdefrance,mdefrance,NO_MATCH,53.333333333333336
STARTUP,MidnightRunner,MidnightRunner,NO_MATCH,50.0
STARTUP,rabahdev,rabahdev,NO_MATCH,44.44444444444444
STARTUP,Yifeng-Liu,Yifeng-Liu,NO_MATCH,33.333333333333336
STARTUP,Armaggheddon,Armaggheddon,NO_MATCH,38.095238095238095
STARTUP,VSp4de-123,VSp4de-123,NO_MATCH,26.66666666666667
STARTUP,bluecopa,bluecopa,NO_MATCH,40.0
STARTUP,is36e,is36e,NO_MATCH,36.36363636363637
STARTUP,HuggingPanda,HuggingPanda,NO_MATCH,58.33333333333333
STARTUP,arnabdhar,arnabdhar,NO_MATCH,44.44444444444444
STARTUP,luxdelux7,luxdelux7,NO_MATCH,42.10526315789473
STARTUP,joshvm,joshvm,NO_MATCH,33.333333333333336
STARTUP,justjuu,justjuu,NO_MATCH,28.57142857142857
STARTUP,litert-community,litert-community,NO_MATCH,41.666666666666664
STARTUP,RationAI,RationAI,NO_MATCH,42.85714285714286
STARTUP,SalahALHaismawi,SalahALHaismawi,NO_MATCH,34.78260869565217
STARTUP,armvectores,armvectores,NO_MATCH,47.61904761904761
STARTUP,Subh775,Subh775,NO_MATCH,25.0
STARTUP,google-t5,google-t5,NO_MATCH,47.61904761904761
STARTUP,human-centered-summarization,human-centered-summarization,NO_MATCH,32.432432432432435
STARTUP,philschmid,philschmid,NO_MATCH,31.57894736842105
STARTUP,moussaKam,moussaKam,NO_MATCH,28.57142857142857
STARTUP,uzlm,uzlm,NO_MATCH,28.57142857142857
STARTUP,knkarthick,knkarthick,NO_MATCH,52.63157894736843
STARTUP,d0rj,d0rj,NO_MATCH,40.0
STARTUP,cnicu,cnicu,NO_MATCH,42.85714285714286
STARTUP,optimum,optimum,NO_MATCH,42.85714285714286
STARTUP,cahya,cahya,NO_MATCH,42.85714285714286
STARTUP,csebuetnlp,csebuetnlp,NO_MATCH,36.36363636363637
STARTUP,RUCAIBox,RUCAIBox,NO_MATCH,36.36363636363637
STARTUP,echarlaix,echarlaix,NO_MATCH,47.05882352941176
STARTUP,VietAI,VietAI,NO_MATCH,50.0
STARTUP,deutsche-telekom,deutsche-telekom,NO_MATCH,33.333333333333336
STARTUP,IlyaGusev,IlyaGusev,NO_MATCH,40.0
STARTUP,allegro,allegro,NO_MATCH,47.05882352941176
STARTUP,RussianNLP,RussianNLP,NO_MATCH,37.5
STARTUP,Sachin21112004,Sachin21112004,NO_MATCH,34.78260869565217
STARTUP,thanathorn,thanathorn,NO_MATCH,45.45454545454546
STARTUP,pszemraj,pszemraj,NO_MATCH,42.85714285714286
STARTUP,mattritchey,mattritchey,NO_MATCH,47.61904761904761
STARTUP,EbanLee,EbanLee,NO_MATCH,40.0
STARTUP,phh,phh,NO_MATCH,25.0
STARTUP,gsarti,gsarti,NO_MATCH,46.15384615384615
STARTUP,recogna-nlp,recogna-nlp,NO_MATCH,42.10526315789473
STARTUP,lyutovad,lyutovad,NO_MATCH,35.29411764705882
STARTUP,thelamapi,thelamapi,NO_MATCH,44.44444444444444
STARTUP,knowledgator,knowledgator,NO_MATCH,47.61904761904761
STARTUP,Phil2Sat,Phil2Sat,NO_MATCH,50.0
STARTUP,hossboll,hossboll,NO_MATCH,50.0
STARTUP,mradermacher,mradermacher,NO_MATCH,50.0
STARTUP,quangvu197,quangvu197,NO_MATCH,31.57894736842105
STARTUP,plguillou,plguillou,NO_MATCH,38.095238095238095
STARTUP,Lamapi,Lamapi,NO_MATCH,53.333333333333336
STARTUP,ainize,ainize,NO_MATCH,42.85714285714286
STARTUP,Tavernari,Tavernari,NO_MATCH,44.44444444444444
STARTUP,nsi319,nsi319,NO_MATCH,40.0
STARTUP,bond005,bond005,NO_MATCH,33.333333333333336
STARTUP,T-Systems-onsite,T-Systems-onsite,NO_MATCH,48.0
STARTUP,josmunpen,josmunpen,NO_MATCH,52.63157894736843
STARTUP,slauw87,slauw87,NO_MATCH,30.76923076923077
STARTUP,TurboAiLabs,TurboAiLabs,NO_MATCH,31.57894736842105
STARTUP,LeoCordoba,LeoCordoba,NO_MATCH,44.44444444444444
STARTUP,gnukeith,gnukeith,NO_MATCH,42.10526315789473
STARTUP,yatharth97,yatharth97,NO_MATCH,42.10526315789473
STARTUP,dascim,dascim,NO_MATCH,37.5
STARTUP,Prience91,Prience91,NO_MATCH,58.82352941176471
STARTUP,Helsinki-NLP,Helsinki-NLP,NO_MATCH,30.000000000000004
STARTUP,lmg-anon,lmg-anon,NO_MATCH,44.44444444444444
STARTUP,handy-computer,handy-computer,NO_MATCH,46.15384615384615
STARTUP,sugoitoolkit,sugoitoolkit,NO_MATCH,38.095238095238095
STARTUP,chbae624,chbae624,NO_MATCH,37.5
STARTUP,Mungert,Mungert,NO_MATCH,47.05882352941176
STARTUP,Rostlab,Rostlab,NO_MATCH,40.0
STARTUP,Unbabel,Unbabel,NO_MATCH,50.0
STARTUP,sarvamai,sarvamai,NO_MATCH,40.0
STARTUP,tencent,tencent,NO_MATCH,40.0
STARTUP,ai4bharat,ai4bharat,NO_MATCH,47.61904761904761
STARTUP,llmfan46,llmfan46,NO_MATCH,44.44444444444444
STARTUP,alirezamsh,alirezamsh,NO_MATCH,44.44444444444444
STARTUP,utrobinmv,utrobinmv,NO_MATCH,44.44444444444444
STARTUP,alphaZimuth,alphaZimuth,NO_MATCH,44.44444444444444
STARTUP,ahotrod,ahotrod,NO_MATCH,46.15384615384615
STARTUP,deepset,deepset,NO_MATCH,66.66666666666667
STARTUP,monologg,monologg,NO_MATCH,50.0
STARTUP,tau,tau,NO_MATCH,60.0
STARTUP,michiyasunaga,michiyasunaga,NO_MATCH,40.0
STARTUP,timpal0l,timpal0l,NO_MATCH,35.29411764705882
STARTUP,google-bert,google-bert,NO_MATCH,45.45454545454546
STARTUP,csarron,csarron,NO_MATCH,40.0
STARTUP,dmis-lab,dmis-lab,NO_MATCH,33.333333333333336
STARTUP,batterydata,batterydata,NO_MATCH,40.0
STARTUP,CATIE-AQ,CATIE-AQ,NO_MATCH,28.57142857142857
STARTUP,TIGER-Lab,TIGER-Lab,NO_MATCH,28.57142857142857
STARTUP,gaotianyu1350,gaotianyu1350,NO_MATCH,40.0
STARTUP,sjrhuschlee,sjrhuschlee,NO_MATCH,42.10526315789473
STARTUP,Jacaranda,Jacaranda,NO_MATCH,42.10526315789473
STARTUP,GreenMap,GreenMap,NO_MATCH,30.76923076923077
STARTUP,Rakib,Rakib,NO_MATCH,40.0
STARTUP,razent,razent,NO_MATCH,66.66666666666667
STARTUP,twmkn9,twmkn9,NO_MATCH,30.76923076923077
STARTUP,rsvp-ai,rsvp-ai,NO_MATCH,37.5
STARTUP,zli12321,zli12321,NO_MATCH,25.0
STARTUP,Lisibonny,Lisibonny,NO_MATCH,42.10526315789473
STARTUP,HPAI-BSC,HPAI-BSC,NO_MATCH,37.5
STARTUP,Jackrong,Jackrong,NO_MATCH,42.85714285714286
STARTUP,akdeniz27,akdeniz27,NO_MATCH,35.29411764705882
STARTUP,OVHaiLLM,OVHaiLLM,NO_MATCH,42.85714285714286
STARTUP,Intel,Intel,FUZZY_MATCH,100.0
STARTUP,vasudevgupta,vasudevgupta,NO_MATCH,47.05882352941176
STARTUP,MohamedAhmedAE,MohamedAhmedAE,NO_MATCH,40.0
STARTUP,metaresearch,metaresearch,NO_MATCH,45.45454545454546
STARTUP,fastino,fastino,NO_MATCH,42.85714285714286
STARTUP,Sindhu,Sindhu,NO_MATCH,40.0
STARTUP,gokulkarthik,gokulkarthik,NO_MATCH,42.10526315789473
STARTUP,GSMS-B,GSMS-B,NO_MATCH,22.22222222222222
STARTUP,uer,uer,NO_MATCH,44.44444444444444
STARTUP,AgentPublic,AgentPublic,NO_MATCH,50.0
STARTUP,artindnr,artindnr,NO_MATCH,50.0
STARTUP,wissamantoun,wissamantoun,NO_MATCH,40.0
STARTUP,ZeyadAhmed,ZeyadAhmed,NO_MATCH,33.333333333333336
STARTUP,UCSC-VLAA,UCSC-VLAA,NO_MATCH,26.66666666666667
STARTUP,Yuchen,Yuchen,NO_MATCH,33.333333333333336
STARTUP,bartowski,bartowski,NO_MATCH,37.5
STARTUP,VMware,VMware,NO_MATCH,40.0
STARTUP,pierreguillou,pierreguillou,NO_MATCH,31.999999999999996
STARTUP,cyankiwi,cyankiwi,NO_MATCH,37.5
STARTUP,DavidAU,DavidAU,NO_MATCH,42.85714285714286
STARTUP,llava-hf,llava-hf,NO_MATCH,37.5
STARTUP,HauhauCS,HauhauCS,NO_MATCH,40.0
STARTUP,RedHatAI,RedHatAI,NO_MATCH,47.05882352941176
STARTUP,moonshotai,moonshotai,NO_MATCH,42.10526315789473
